"the"	1431080
"of"	747461
"in"	586417
"and"	547715
"a"	517220
"to"	417351
"is"	391115
"was"	209489
"it"	206676
"for"	185216
"on"	163112
"0"	157316
"that"	154481
"s"	152092
"as"	148823
"align"	141509
"by"	132277
"are"	129047
"1"	126897
"from"	126530
"2"	125509
"he"	123014
"with"	121319
"this"	109186
"be"	101365
"i"	101160
"category"	95903
"or"	95310
"at"	94555
"an"	94160
"center"	92035
"not"	86875
"style"	79888
"3"	77797
"other"	76124
"they"	75366
"his"	73009
"have"	66946
"utc"	65867
"people"	65032
"has"	63435
"talk"	61051
"also"	60639
"american"	59584
"bgcolor"	59079
"one"	59000
"4"	57925
"right"	57873
"which"	54574
"can"	54270
"but"	53604
"were"	52495
"new"	51019
"first"	50766
"5"	50744
"there"	50655
"you"	45623
"b"	45535
"references"	44547
"rowspan"	43590
"left"	43436
"6"	43379
"d"	41835
"about"	41716
"redirect"	41105
"if"	40531
"t"	40350
"all"	39530
"may"	39459
"when"	38331
"their"	38248
"font"	38219
"who"	38194
"thumb"	37174
"used"	36543
"had"	35960
"after"	35929
"10"	35863
"more"	35640
"many"	35564
"some"	35285
"color"	35250
"2009"	35208
"she"	34995
"made"	34743
"united"	34640
"7"	34472
"time"	34263
"city"	34258
"user"	34039
"background"	33734
"two"	32009
"2008"	32000
"no"	31629
"world"	31541
"its"	31421
"most"	31354
"called"	31177
"8"	30616
"english"	30295
